2018-02-22 00:26:37 INFO  TC001_VerifyLoginWithInvalidCredentials:28 - ================ Starting verifyLoginWithInvalidCredentials Test ==================
2018-02-22 00:27:46 INFO  TC001_VerifyLoginWithInvalidCredentials:28 - ================ Starting verifyLoginWithInvalidCredentials Test ==================
2018-02-22 00:27:46 INFO  DemoPage:26 - clicked on HomPage Front end link and object is: [[FirefoxDriver: firefox on XP (e5f0517f-b870-48a5-aa0b-283b1d66b8c4)] -> link text: http://www.phptravels.net]
2018-02-22 00:27:47 INFO  TC001_VerifyLoginWithInvalidCredentials:34 - ================= Finished verifyLoginWithInvalidCredentials Test ===================
2018-02-22 00:37:48 INFO  TC001_VerifyLoginWithInvalidCredentials:28 - ================ Starting verifyLoginWithInvalidCredentials Test ==================
2018-02-22 00:40:20 INFO  TC001_VerifyLoginWithInvalidCredentials:28 - ================ Starting verifyLoginWithInvalidCredentials Test ==================
2018-02-22 00:43:43 INFO  TC001_VerifyLoginWithInvalidCredentials:28 - ================ Starting verifyLoginWithInvalidCredentials Test ==================
2018-02-22 00:43:43 INFO  DemoPage:26 - clicked on HomPage Front end link and object is: [[ChromeDriver: chrome on XP (a5227139d38f59521737b5e39d4b252b)] -> xpath: //a[@href='//www.phptravels.net']]
2018-02-22 00:43:43 INFO  TC001_VerifyLoginWithInvalidCredentials:34 - ================= Finished verifyLoginWithInvalidCredentials Test ===================
2018-03-05 10:19:14 INFO  TC001_VerifyNavigatedToSignUpPage:26 - ================ Starting verifyNavigatedToSignUp Test ==================
2018-03-05 10:19:14 INFO  DemoPage:26 - clicked on HomPage Front end link and object is: [[ChromeDriver: chrome on XP (0e0a9865e6e17b11acb6f5c2760db571)] -> xpath: //a[@href='//www.phptravels.net']]
2018-03-05 10:21:05 INFO  TC001_VerifyNavigatedToSignUpPage:26 - ================ Starting verifyNavigatedToSignUp Test ==================
2018-03-05 10:21:05 INFO  DemoPage:26 - clicked on HomPage Front end link and object is: [[FirefoxDriver: firefox on XP (49c29340-5c38-425e-9440-68a504a2a79e)] -> xpath: //a[@href='//www.phptravels.net']]
2018-03-05 19:59:59 INFO  TC001_VerifyNavigatedToSignUpPage:26 - ================ Starting verifyNavigatedToSignUp Test ==================
2018-03-05 20:00:00 INFO  DemoPage:26 - clicked on HomPage Front end link and object is: [[FirefoxDriver: firefox on XP (8190bc31-f703-4100-90ee-72e3bb9c1a45)] -> xpath: //a[@href='//www.phptravels.net']]
2018-03-05 20:03:53 INFO  TC001_VerifyNavigatedToSignUpPage:26 - ================ Starting verifyNavigatedToSignUp Test ==================
2018-03-05 20:03:54 INFO  DemoPage:26 - clicked on HomPage Front end link and object is: [[FirefoxDriver: firefox on XP (da6acde9-f2ea-4310-94ad-d4083a552987)] -> xpath: //a[@href='//www.phptravels.net']]
2018-03-05 20:07:45 INFO  TC001_VerifyNavigatedToSignUpPage:26 - ================ Starting verifyNavigatedToSignUp Test ==================
